inspectionid,propertyid,lastinspectiondate,inspector,outcome,notes,inspection_type,buildingregistrationdate,property_age_years,patchid,patchname,days_since_last_inspection,compliance_outcome,follow_up_required,backlog_flag,compliance_severity
192,43,2021-01-14,Inspector 2,Fail,Inspection notes for property 43,General HHSRS,1978-01-01,47,2,North Patch 2,1448,Pass,False,False,None
193,44,2022-05-23,Inspector 4,Needs Attention,Inspection notes for property 44,Water Hygiene,1945-01-01,80,8,West Patch 2,954,Pass,False,False,None
194,44,2021-06-13,Inspector 7,Pass,Inspection notes for property 44,Electrical,1945-01-01,80,8,West Patch 2,1298,Pass,False,False,None
195,44,2024-01-11,Inspector 3,Needs Attention,Inspection notes for property 44,Gas Safety,1945-01-01,80,8,West Patch 2,356,Pass,False,False,None
196,44,2024-05-03,Inspector 3,Needs Attention,Inspection notes for property 44,Gas Safety,1945-01-01,80,8,West Patch 2,243,Pass,False,False,None
197,44,2024-09-11,Inspector 10,Pass,Inspection notes for property 44,Electrical,1945-01-01,80,8,West Patch 2,112,Advisory,True,False,Medium
198,45,2023-08-19,Inspector 3,Needs Attention,Inspection notes for property 45,General HHSRS,2010-01-01,15,4,East Patch 2,501,Pass,False,False,None
199,45,2021-09-19,Inspector 10,Needs Attention,Inspection notes for property 45,General HHSRS,2010-01-01,15,4,East Patch 2,1200,Fail,True,False,Medium
200,45,2021-01-16,Inspector 5,Pass,Inspection notes for property 45,General HHSRS,2010-01-01,15,4,East Patch 2,1446,Advisory,True,False,Medium
201,46,2021-04-09,Inspector 8,Fail,Inspection notes for property 46,Electrical,1976-01-01,49,4,East Patch 2,1363,Pass,False,False,None
202,46,2023-06-11,Inspector 7,Needs Attention,Inspection notes for property 46,Fire Safety,1976-01-01,49,4,East Patch 2,570,Pass,False,False,None
203,46,2020-08-15,Inspector 10,Pass,Inspection notes for property 46,Fire Safety,1976-01-01,49,4,East Patch 2,1600,Advisory,True,False,Medium
204,46,2021-05-19,Inspector 9,Fail,Inspection notes for property 46,General HHSRS,1976-01-01,49,4,East Patch 2,1323,Pass,False,False,None
205,46,2021-06-01,Inspector 6,Fail,Inspection notes for property 46,Electrical,1976-01-01,49,4,East Patch 2,1310,Pass,False,False,None
206,47,2024-10-09,Inspector 4,Fail,Inspection notes for property 47,Fire Safety,2010-01-01,15,8,West Patch 2,84,Pass,False,False,None
207,47,2024-03-05,Inspector 2,Pass,Inspection notes for property 47,Fire Safety,2010-01-01,15,8,West Patch 2,302,Advisory,True,False,High
208,47,2022-02-23,Inspector 9,Needs Attention,Inspection notes for property 47,Electrical,2010-01-01,15,8,West Patch 2,1043,Pass,False,False,None
209,47,2020-11-06,Inspector 3,Needs Attention,Inspection notes for property 47,Fire Safety,2010-01-01,15,8,West Patch 2,1517,Pass,False,False,None
210,47,2024-01-31,Inspector 8,Needs Attention,Inspection notes for property 47,Fire Safety,2010-01-01,15,8,West Patch 2,336,Fail,True,True,Low
211,47,2024-10-11,Inspector 9,Needs Attention,Inspection notes for property 47,Gas Safety,2010-01-01,15,8,West Patch 2,82,Advisory,True,False,High
212,48,2022-05-17,Inspector 3,Needs Attention,Inspection notes for property 48,Electrical,1974-01-01,51,7,West Patch 1,960,Pass,False,False,None
213,48,2020-09-06,Inspector 1,Needs Attention,Inspection notes for property 48,Electrical,1974-01-01,51,7,West Patch 1,1578,Pass,False,False,None
214,49,2022-02-24,Inspector 7,Fail,Inspection notes for property 49,Fire Safety,1978-01-01,47,6,South Patch 2,1042,Advisory,True,False,High
215,49,2021-02-03,Inspector 9,Fail,Inspection notes for property 49,Electrical,1978-01-01,47,6,South Patch 2,1428,Pass,False,False,None
216,49,2020-07-30,Inspector 8,Fail,Inspection notes for property 49,Fire Safety,1978-01-01,47,6,South Patch 2,1616,Pass,False,False,None
217,49,2021-10-10,Inspector 10,Pass,Inspection notes for property 49,Gas Safety,1978-01-01,47,6,South Patch 2,1179,Pass,False,False,None
218,49,2024-04-29,Inspector 5,Fail,Inspection notes for property 49,Electrical,1978-01-01,47,6,South Patch 2,247,Fail,True,True,High
219,50,2023-06-28,Inspector 10,Needs Attention,Inspection notes for property 50,Electrical,1974-01-01,51,6,South Patch 2,553,Pass,False,False,None
220,50,2023-08-20,Inspector 4,Pass,Inspection notes for property 50,General HHSRS,1974-01-01,51,6,South Patch 2,500,Advisory,True,False,High
221,51,2021-02-11,Inspector 9,Pass,Inspection notes for property 51,Electrical,1968-01-01,57,7,West Patch 1,1420,Advisory,True,False,Low
222,51,2025-01-14,Inspector 7,Needs Attention,Inspection notes for property 51,Electrical,1968-01-01,57,7,West Patch 1,-13,Pass,False,False,None
223,52,2022-10-14,Inspector 6,Pass,Inspection notes for property 52,Fire Safety,2002-01-01,23,6,South Patch 2,810,Pass,False,False,None
224,52,2022-09-09,Inspector 10,Fail,Inspection notes for property 52,Gas Safety,2002-01-01,23,6,South Patch 2,845,Pass,False,False,None
225,52,2020-04-14,Inspector 9,Fail,Inspection notes for property 52,Fire Safety,2002-01-01,23,6,South Patch 2,1723,Pass,False,False,None
226,52,2023-11-01,Inspector 10,Fail,Inspection notes for property 52,Fire Safety,2002-01-01,23,6,South Patch 2,427,Pass,False,False,None
227,53,2020-04-11,Inspector 4,Fail,Inspection notes for property 53,Water Hygiene,1922-01-01,103,3,East Patch 1,1726,Advisory,True,False,High
228,53,2020-06-09,Inspector 9,Fail,Inspection notes for property 53,Gas Safety,1922-01-01,103,3,East Patch 1,1667,Pass,False,False,None
229,53,2023-01-01,Inspector 9,Needs Attention,Inspection notes for property 53,General HHSRS,1922-01-01,103,3,East Patch 1,731,Advisory,True,False,Medium
230,53,2023-08-28,Inspector 5,Needs Attention,Inspection notes for property 53,Electrical,1922-01-01,103,3,East Patch 1,492,Pass,False,False,None
231,53,2020-09-26,Inspector 7,Needs Attention,Inspection notes for property 53,General HHSRS,1922-01-01,103,3,East Patch 1,1558,Pass,False,False,None
232,54,2020-11-19,Inspector 4,Fail,Inspection notes for property 54,Gas Safety,1978-01-01,47,4,East Patch 2,1504,Pass,False,False,None
233,54,2024-03-03,Inspector 2,Pass,Inspection notes for property 54,Electrical,1978-01-01,47,4,East Patch 2,304,Pass,False,False,None
234,55,2020-02-09,Inspector 6,Needs Attention,Inspection notes for property 55,Gas Safety,2002-01-01,23,7,West Patch 1,1788,Advisory,True,False,High
235,55,2021-03-03,Inspector 1,Pass,Inspection notes for property 55,Fire Safety,2002-01-01,23,7,West Patch 1,1400,Pass,False,False,None
236,55,2021-06-07,Inspector 1,Pass,Inspection notes for property 55,Electrical,2002-01-01,23,7,West Patch 1,1304,Pass,False,False,None
237,55,2022-08-06,Inspector 10,Fail,Inspection notes for property 55,Fire Safety,2002-01-01,23,7,West Patch 1,879,Pass,False,False,None
238,55,2024-09-19,Inspector 5,Pass,Inspection notes for property 55,Fire Safety,2002-01-01,23,7,West Patch 1,104,Pass,False,False,None
239,56,2021-08-30,Inspector 1,Needs Attention,Inspection notes for property 56,Electrical,1968-01-01,57,4,East Patch 2,1220,Pass,False,False,None
240,56,2022-10-31,Inspector 10,Needs Attention,Inspection notes for property 56,Fire Safety,1968-01-01,57,4,East Patch 2,793,Pass,False,False,None
241,57,2021-01-02,Inspector 10,Pass,Inspection notes for property 57,Water Hygiene,1927-01-01,98,8,West Patch 2,1460,Fail,True,False,High
242,57,2021-06-27,Inspector 8,Fail,Inspection notes for property 57,Water Hygiene,1927-01-01,98,8,West Patch 2,1284,Pass,False,False,None
243,57,2023-12-12,Inspector 9,Fail,Inspection notes for property 57,Water Hygiene,1927-01-01,98,8,West Patch 2,386,Advisory,True,False,Low
244,57,2024-11-21,Inspector 10,Needs Attention,Inspection notes for property 57,Gas Safety,1927-01-01,98,8,West Patch 2,41,Pass,False,False,None
245,58,2021-08-18,Inspector 3,Needs Attention,Inspection notes for property 58,Fire Safety,1976-01-01,49,1,North Patch 1,1232,Pass,False,False,None
246,58,2023-01-23,Inspector 4,Needs Attention,Inspection notes for property 58,Water Hygiene,1976-01-01,49,1,North Patch 1,709,Pass,False,False,None
247,58,2024-12-03,Inspector 2,Fail,Inspection notes for property 58,Gas Safety,1976-01-01,49,1,North Patch 1,29,Pass,False,False,None
248,59,2021-04-28,Inspector 7,Fail,Inspection notes for property 59,Water Hygiene,1978-01-01,47,3,East Patch 1,1344,Pass,False,False,None
249,59,2023-12-15,Inspector 9,Pass,Inspection notes for property 59,Water Hygiene,1978-01-01,47,3,East Patch 1,383,Pass,False,False,None
250,59,2021-02-17,Inspector 2,Pass,Inspection notes for property 59,General HHSRS,1978-01-01,47,3,East Patch 1,1414,Pass,False,False,None
251,59,2023-06-26,Inspector 9,Needs Attention,Inspection notes for property 59,Fire Safety,1978-01-01,47,3,East Patch 1,555,Pass,False,False,None
252,60,2020-03-07,Inspector 5,Pass,Inspection notes for property 60,Gas Safety,2002-01-01,23,5,South Patch 1,1761,Pass,False,False,None
253,60,2023-12-27,Inspector 8,Fail,Inspection notes for property 60,General HHSRS,2002-01-01,23,5,South Patch 1,371,Fail,True,True,Low
254,60,2025-01-19,Inspector 5,Pass,Inspection notes for property 60,Gas Safety,2002-01-01,23,5,South Patch 1,-18,Pass,False,False,None
255,60,2022-03-29,Inspector 2,Needs Attention,Inspection notes for property 60,Fire Safety,2002-01-01,23,5,South Patch 1,1009,Pass,False,False,None
256,61,2023-06-06,Inspector 6,Pass,Inspection notes for property 61,Electrical,1976-01-01,49,3,East Patch 1,575,Pass,False,False,None
257,61,2023-08-20,Inspector 9,Needs Attention,Inspection notes for property 61,Water Hygiene,1976-01-01,49,3,East Patch 1,500,Pass,False,False,None
258,61,2021-09-03,Inspector 8,Fail,Inspection notes for property 61,Electrical,1976-01-01,49,3,East Patch 1,1216,Pass,False,False,None
259,61,2022-05-14,Inspector 4,Fail,Inspection notes for property 61,Electrical,1976-01-01,49,3,East Patch 1,963,Pass,False,False,None
260,61,2021-04-04,Inspector 8,Needs Attention,Inspection notes for property 61,Fire Safety,1976-01-01,49,3,East Patch 1,1368,Pass,False,False,None
261,61,2022-05-17,Inspector 2,Fail,Inspection notes for property 61,Electrical,1976-01-01,49,3,East Patch 1,960,Pass,False,False,None
262,62,2021-11-07,Inspector 4,Needs Attention,Inspection notes for property 62,Water Hygiene,2000-01-01,25,7,West Patch 1,1151,Pass,False,False,None
263,62,2023-10-16,Inspector 6,Fail,Inspection notes for property 62,Fire Safety,2000-01-01,25,7,West Patch 1,443,Pass,False,False,None
264,62,2022-08-03,Inspector 9,Pass,Inspection notes for property 62,Gas Safety,2000-01-01,25,7,West Patch 1,882,Pass,False,False,None
265,62,2020-05-30,Inspector 5,Pass,Inspection notes for property 62,General HHSRS,2000-01-01,25,7,West Patch 1,1677,Pass,False,False,None
266,62,2024-07-22,Inspector 7,Needs Attention,Inspection notes for property 62,Electrical,2000-01-01,25,7,West Patch 1,163,Pass,False,False,None
267,63,2024-08-26,Inspector 9,Pass,Inspection notes for property 63,Electrical,1959-01-01,66,5,South Patch 1,128,Advisory,True,False,Medium
268,63,2023-04-27,Inspector 6,Pass,Inspection notes for property 63,Electrical,1959-01-01,66,5,South Patch 1,615,Pass,False,False,None
269,63,2023-07-27,Inspector 3,Needs Attention,Inspection notes for property 63,Gas Safety,1959-01-01,66,5,South Patch 1,524,Pass,False,False,None
270,63,2024-05-01,Inspector 8,Needs Attention,Inspection notes for property 63,Fire Safety,1959-01-01,66,5,South Patch 1,245,Pass,False,False,None
271,64,2020-12-14,Inspector 4,Fail,Inspection notes for property 64,General HHSRS,1959-01-01,66,1,North Patch 1,1479,Fail,True,True,High
272,64,2023-10-17,Inspector 4,Pass,Inspection notes for property 64,General HHSRS,1959-01-01,66,1,North Patch 1,442,Pass,False,False,None
273,64,2023-01-30,Inspector 3,Pass,Inspection notes for property 64,General HHSRS,1959-01-01,66,1,North Patch 1,702,Pass,False,False,None
274,65,2021-04-15,Inspector 8,Needs Attention,Inspection notes for property 65,Water Hygiene,2010-01-01,15,7,West Patch 1,1357,Pass,False,False,None
275,65,2020-10-16,Inspector 9,Pass,Inspection notes for property 65,Gas Safety,2010-01-01,15,7,West Patch 1,1538,Pass,False,False,None
276,66,2021-06-08,Inspector 6,Fail,Inspection notes for property 66,Gas Safety,2001-01-01,24,2,North Patch 2,1303,Pass,False,False,None
277,66,2020-03-16,Inspector 5,Fail,Inspection notes for property 66,General HHSRS,2001-01-01,24,2,North Patch 2,1752,Pass,False,False,None
278,66,2020-10-16,Inspector 9,Fail,Inspection notes for property 66,Electrical,2001-01-01,24,2,North Patch 2,1538,Advisory,True,False,High
279,66,2023-01-11,Inspector 10,Pass,Inspection notes for property 66,Electrical,2001-01-01,24,2,North Patch 2,721,Pass,False,False,None
280,67,2020-06-08,Inspector 7,Fail,Inspection notes for property 67,General HHSRS,1922-01-01,103,4,East Patch 2,1668,Advisory,True,False,High
281,67,2024-11-23,Inspector 9,Fail,Inspection notes for property 67,General HHSRS,1922-01-01,103,4,East Patch 2,39,Fail,True,False,Medium
282,67,2020-02-04,Inspector 3,Fail,Inspection notes for property 67,Gas Safety,1922-01-01,103,4,East Patch 2,1793,Pass,False,False,None
283,67,2021-02-28,Inspector 9,Fail,Inspection notes for property 67,Gas Safety,1922-01-01,103,4,East Patch 2,1403,Pass,False,False,None
284,67,2021-03-19,Inspector 1,Pass,Inspection notes for property 67,Fire Safety,1922-01-01,103,4,East Patch 2,1384,Pass,False,False,None
285,67,2023-11-24,Inspector 7,Needs Attention,Inspection notes for property 67,Electrical,1922-01-01,103,4,East Patch 2,404,Pass,False,False,None
286,68,2023-01-19,Inspector 10,Fail,Inspection notes for property 68,Fire Safety,2010-01-01,15,1,North Patch 1,713,Pass,False,False,None
287,68,2022-01-01,Inspector 5,Pass,Inspection notes for property 68,Gas Safety,2010-01-01,15,1,North Patch 1,1096,Fail,True,True,Low
288,68,2022-08-06,Inspector 10,Fail,Inspection notes for property 68,Gas Safety,2010-01-01,15,1,North Patch 1,879,Advisory,True,False,Medium
289,68,2024-01-18,Inspector 8,Fail,Inspection notes for property 68,Fire Safety,2010-01-01,15,1,North Patch 1,349,Pass,False,False,None
290,69,2021-02-23,Inspector 6,Fail,Inspection notes for property 69,Electrical,1947-01-01,78,4,East Patch 2,1408,Pass,False,False,None
291,69,2023-06-07,Inspector 8,Pass,Inspection notes for property 69,Fire Safety,1947-01-01,78,4,East Patch 2,574,Advisory,True,False,High
292,69,2024-05-05,Inspector 10,Needs Attention,Inspection notes for property 69,Fire Safety,1947-01-01,78,4,East Patch 2,241,Fail,True,True,Low
293,69,2020-06-07,Inspector 2,Needs Attention,Inspection notes for property 69,General HHSRS,1947-01-01,78,4,East Patch 2,1669,Advisory,True,False,Low
294,69,2020-07-27,Inspector 4,Needs Attention,Inspection notes for property 69,Gas Safety,1947-01-01,78,4,East Patch 2,1619,Pass,False,False,None
295,70,2023-12-24,Inspector 3,Needs Attention,Inspection notes for property 70,Fire Safety,1988-01-01,37,6,South Patch 2,374,Pass,False,False,None
296,70,2022-05-06,Inspector 1,Pass,Inspection notes for property 70,Gas Safety,1988-01-01,37,6,South Patch 2,971,Pass,False,False,None
297,70,2022-11-04,Inspector 3,Needs Attention,Inspection notes for property 70,General HHSRS,1988-01-01,37,6,South Patch 2,789,Pass,False,False,None
298,70,2022-01-31,Inspector 6,Fail,Inspection notes for property 70,Fire Safety,1988-01-01,37,6,South Patch 2,1066,Pass,False,False,None
299,70,2023-03-09,Inspector 9,Needs Attention,Inspection notes for property 70,Electrical,1988-01-01,37,6,South Patch 2,664,Pass,False,False,None
300,71,2024-10-07,Inspector 3,Pass,Inspection notes for property 71,Fire Safety,2010-01-01,15,2,North Patch 2,86,Pass,False,False,None
301,71,2020-07-07,Inspector 5,Fail,Inspection notes for property 71,Fire Safety,2010-01-01,15,2,North Patch 2,1639,Pass,False,False,None
302,71,2024-07-15,Inspector 8,Needs Attention,Inspection notes for property 71,Gas Safety,2010-01-01,15,2,North Patch 2,170,Pass,False,False,None
303,71,2023-08-15,Inspector 6,Fail,Inspection notes for property 71,Gas Safety,2010-01-01,15,2,North Patch 2,505,Pass,False,False,None
304,71,2021-12-14,Inspector 5,Fail,Inspection notes for property 71,Electrical,2010-01-01,15,2,North Patch 2,1114,Pass,False,False,None
305,72,2024-05-25,Inspector 6,Needs Attention,Inspection notes for property 72,Electrical,1927-01-01,98,2,North Patch 2,221,Pass,False,False,None
306,72,2023-12-18,Inspector 10,Needs Attention,Inspection notes for property 72,Water Hygiene,1927-01-01,98,2,North Patch 2,380,Pass,False,False,None
307,72,2021-09-06,Inspector 9,Pass,Inspection notes for property 72,Gas Safety,1927-01-01,98,2,North Patch 2,1213,Advisory,True,False,Medium
308,72,2023-01-02,Inspector 6,Needs Attention,Inspection notes for property 72,Gas Safety,1927-01-01,98,2,North Patch 2,730,Pass,False,False,None
309,72,2022-06-05,Inspector 8,Pass,Inspection notes for property 72,General HHSRS,1927-01-01,98,2,North Patch 2,941,Pass,False,False,None
310,73,2023-06-22,Inspector 8,Needs Attention,Inspection notes for property 73,Fire Safety,1959-01-01,66,1,North Patch 1,559,Pass,False,False,None
311,73,2020-03-17,Inspector 3,Needs Attention,Inspection notes for property 73,Gas Safety,1959-01-01,66,1,North Patch 1,1751,Fail,True,True,Low
312,73,2022-09-18,Inspector 10,Needs Attention,Inspection notes for property 73,Fire Safety,1959-01-01,66,1,North Patch 1,836,Pass,False,False,None
313,73,2020-04-26,Inspector 2,Pass,Inspection notes for property 73,Fire Safety,1959-01-01,66,1,North Patch 1,1711,Pass,False,False,None
314,73,2023-02-25,Inspector 4,Fail,Inspection notes for property 73,Water Hygiene,1959-01-01,66,1,North Patch 1,676,Pass,False,False,None
315,73,2021-01-06,Inspector 5,Needs Attention,Inspection notes for property 73,General HHSRS,1959-01-01,66,1,North Patch 1,1456,Pass,False,False,None
316,74,2021-06-18,Inspector 7,Fail,Inspection notes for property 74,Electrical,1947-01-01,78,2,North Patch 2,1293,Pass,False,False,None
317,74,2020-12-09,Inspector 6,Needs Attention,Inspection notes for property 74,Gas Safety,1947-01-01,78,2,North Patch 2,1484,Pass,False,False,None
318,74,2022-02-27,Inspector 8,Fail,Inspection notes for property 74,Fire Safety,1947-01-01,78,2,North Patch 2,1039,Fail,True,True,Low
319,74,2024-01-18,Inspector 1,Pass,Inspection notes for property 74,Fire Safety,1947-01-01,78,2,North Patch 2,349,Pass,False,False,None
320,74,2023-06-10,Inspector 5,Needs Attention,Inspection notes for property 74,Fire Safety,1947-01-01,78,2,North Patch 2,571,Advisory,True,False,High
